time	susceptible	severe	exposed	overflow	ICU	infectious	cumulative_recovered	cumulative_hospitalized	cumulative_critical	cumulative_fatality
2020-04-08	1468279	0	15	0	0	7	0	0	0	0
2020-04-09	1468273	0	19	0	0	6	3	0	0	0
2020-04-10	1468268	0	21	0	0	6	6	0	0	0
2020-04-11	1468263	0	23	0	0	6	9	0	0	0
2020-04-12	1468258	0	25	0	0	6	12	0	0	0
2020-04-13	1468252	0	27	0	0	7	15	0	0	0
2020-04-14	1468247	0	29	0	0	7	18	1	0	0
2020-04-15	1468240	0	31	0	0	8	22	1	0	0
2020-04-16	1468233	0	33	0	0	8	26	1	0	0
2020-04-17	1468226	1	35	0	0	9	30	1	0	0
2020-04-18	1468218	1	38	0	0	10	34	1	0	0
2020-04-19	1468210	1	40	0	0	10	39	2	0	0
2020-04-20	1468202	1	43	0	0	11	44	2	0	0
2020-04-21	1468192	1	46	0	0	12	50	2	0	0
2020-04-22	1468183	1	49	0	0	13	56	3	1	0
2020-04-23	1468172	1	52	0	1	14	62	3	1	0
2020-04-24	1468161	1	55	0	1	14	69	3	1	0
2020-04-25	1468150	1	58	0	1	15	76	4	1	0
2020-04-26	1468137	1	62	0	1	16	83	4	1	0
2020-04-27	1468125	2	65	0	1	17	91	5	1	0
2020-04-28	1468111	2	69	0	1	18	100	5	1	0
2020-04-29	1468096	2	73	0	1	19	109	6	2	0
2020-04-30	1468081	2	77	0	1	21	119	6	2	0
2020-05-01	1468065	2	81	0	1	22	129	7	2	0
2020-05-02	1468048	2	86	0	2	23	140	7	2	0
2020-05-03	1468031	2	90	0	2	24	151	8	3	0
2020-05-04	1468012	3	95	0	2	26	163	9	3	0
2020-05-05	1467992	3	100	0	2	27	176	9	3	1
2020-05-06	1467971	3	106	0	2	29	190	10	4	1
2020-05-07	1467950	3	111	0	2	30	204	11	4	1
2020-05-08	1467927	3	117	0	3	32	219	12	4	1
2020-05-09	1467903	3	123	0	3	34	235	13	5	1
2020-05-10	1467877	4	130	0	3	35	251	14	5	1
2020-05-11	1467850	4	137	0	3	37	269	15	5	1
2020-05-12	1467822	4	144	0	3	39	287	16	6	1
2020-05-13	1467792	4	151	0	4	41	307	17	6	1
2020-05-14	1467761	4	160	0	4	44	327	18	7	1
2020-05-15	1467728	5	168	0	4	46	349	19	7	2
2020-05-16	1467694	5	177	0	4	48	371	21	8	2
2020-05-17	1467657	5	186	0	4	51	395	22	8	2
2020-05-18	1467618	6	196	0	5	53	421	23	9	2
2020-05-19	1467578	6	207	0	5	56	447	25	10	2
