time	susceptible	severe	exposed	overflow	ICU	infectious	cumulative_recovered	cumulative_hospitalized	cumulative_critical	cumulative_fatality
2020-04-08	1468279	0	15	0	0	7	0	0	0	0
2020-04-09	1468271	0	21	0	0	6	3	0	0	0
2020-04-10	1468264	0	26	0	0	6	6	0	0	0
2020-04-11	1468256	0	30	0	0	6	9	0	0	0
2020-04-12	1468248	0	34	0	0	7	12	0	0	0
2020-04-13	1468239	0	38	0	0	8	15	0	0	0
2020-04-14	1468229	0	43	0	0	9	19	1	0	0
2020-04-15	1468217	0	49	0	0	10	24	1	0	0
2020-04-16	1468204	1	56	0	0	12	29	1	0	0
2020-04-17	1468189	1	63	0	0	13	35	1	0	0
2020-04-18	1468172	1	72	0	0	15	41	2	0	0
2020-04-19	1468152	1	82	0	0	17	49	2	0	0
2020-04-20	1468130	1	93	0	0	19	57	3	1	0
2020-04-21	1468104	2	105	0	1	22	67	3	1	0
2020-04-22	1468076	2	120	0	1	25	78	4	1	0
2020-04-23	1468043	2	136	0	1	28	91	5	1	0
2020-04-24	1468006	2	154	0	1	32	105	5	1	0
2020-04-25	1467964	3	175	0	1	36	121	6	2	0
2020-04-26	1467916	3	199	0	1	41	140	7	2	0
2020-04-27	1467862	4	226	0	2	47	160	9	2	0
2020-04-28	1467801	4	256	0	2	53	184	10	3	0
2020-04-29	1467731	5	291	0	2	60	211	12	3	0
2020-04-30	1467652	5	331	0	3	68	242	13	4	0
2020-05-01	1467562	6	375	0	3	78	276	15	4	1
2020-05-02	1467460	7	426	0	4	88	316	18	5	1
2020-05-03	1467345	8	483	0	4	100	360	20	6	1
2020-05-04	1467213	9	549	0	5	114	411	23	7	1
2020-05-05	1467064	10	623	0	5	129	469	26	8	1
2020-05-06	1466895	11	707	0	6	146	534	30	9	1
2020-05-07	1466703	13	802	0	7	166	608	34	10	2
2020-05-08	1466485	15	910	0	8	189	692	39	12	2
2020-05-09	1466238	17	1033	0	9	214	788	45	14	2
2020-05-10	1465957	19	1173	0	10	243	896	51	16	2
2020-05-11	1465639	21	1331	0	12	276	1020	58	18	3
2020-05-12	1465278	24	1510	0	14	313	1159	66	20	3
2020-05-13	1464868	28	1713	0	15	355	1318	75	23	4
2020-05-14	1464403	31	1944	0	17	403	1498	86	26	4
2020-05-15	1463875	36	2205	0	20	458	1702	98	30	5
2020-05-16	1463277	40	2502	0	23	519	1934	111	34	6
2020-05-17	1462599	46	2838	0	26	589	2197	126	39	6
2020-05-18	1461829	52	3219	0	29	668	2495	143	44	7
2020-05-19	1460957	59	3651	0	33	758	2834	163	51	8
2020-05-20	1459968	67	4141	0	38	860	3218	185	58	10
2020-05-21	1458847	76	4696	0	43	976	3654	210	65	11
2020-05-22	1457576	86	5324	0	48	1107	4148	239	74	12
2020-05-23	1456136	98	6035	0	55	1255	4708	271	85	14
2020-05-24	1454504	111	6840	0	62	1423	5344	308	96	16
2020-05-25	1452657	126	7751	0	71	1614	6065	350	109	18
2020-05-26	1450565	143	8781	0	80	1829	6882	397	124	21
2020-05-27	1448197	162	9945	0	91	2073	7808	450	141	24
2020-05-28	1445518	184	11260	3	100	2350	8858	511	160	27
2020-05-29	1442489	208	12746	17	100	2662	10048	580	182	31
2020-05-30	1439064	236	14422	32	100	3015	11396	657	206	36
2020-05-31	1435195	267	16311	49	100	3415	12922	746	234	42
2020-06-01	1430826	303	18439	67	100	3866	14651	845	265	50
2020-06-02	1425897	343	20833	88	100	4374	16608	958	301	58
2020-06-03	1420340	388	23524	110	100	4948	18821	1086	342	68
2020-06-04	1414081	439	26544	136	100	5595	21325	1231	387	80
2020-06-05	1407038	497	29928	165	100	6323	24156	1394	439	94
2020-06-06	1399123	562	33715	197	100	7141	27354	1579	497	110
2020-06-07	1390238	635	37942	234	100	8060	30965	1787	563	128
2020-06-08	1380279	717	42652	275	100	9090	35040	2023	638	148
2020-06-09	1369134	809	47887	321	100	10244	39635	2288	722	172
2020-06-10	1356686	912	53688	372	100	11533	44810	2587	817	199
2020-06-11	1342811	1028	60096	430	100	12970	50636	2923	924	230
2020-06-12	1327380	1158	67149	496	100	14569	57184	3301	1045	265
2020-06-13	1310264	1303	74881	569	100	16344	64537	3725	1181	304
2020-06-14	1291333	1464	83317	651	100	18306	72781	4201	1334	349
2020-06-15	1270461	1644	92474	743	100	20470	82010	4734	1506	400
2020-06-16	1247533	1842	102354	845	100	22846	92323	5329	1698	457
2020-06-17	1222444	2062	112943	960	100	25445	103826	5993	1914	521
2020-06-18	1195111	2304	124205	1087	100	28272	116627	6731	2156	594
2020-06-19	1165476	2570	136079	1229	100	31332	130839	7551	2425	676
2020-06-20	1133516	2860	148475	1386	100	34622	146574	8458	2726	768
2020-06-21	1099246	3175	161270	1559	100	38136	163944	9460	3060	871
2020-06-22	1062729	3516	174306	1749	100	41859	183055	10562	3430	987
2020-06-23	1024083	3883	187388	1959	100	45767	204006	11770	3840	1116
2020-06-24	983482	4274	200289	2187	100	49828	226882	13088	4292	1259
2020-06-25	941160	4688	212748	2435	100	53999	251752	14521	4789	1419
2020-06-26	897410	5124	224480	2704	100	58226	278661	16071	5334	1597
2020-06-27	852579	5577	235185	2993	100	62445	307628	17738	5928	1793
2020-06-28	807063	6043	244563	3303	100	66581	338638	19523	6574	2010
2020-06-29	761290	6518	252324	3631	100	70550	371639	21421	7272	2249
2020-06-30	715709	6994	258209	3978	100	74263	406538	23428	8024	2510
2020-07-01	670771	7465	262004	4341	100	77627	443196	25535	8829	2796
2020-07-02	626913	7922	263558	4717	100	80551	481432	27731	9687	3107
2020-07-03	584538	8357	262789	5104	100	82948	521021	30003	10595	3444
2020-07-04	543999	8762	259697	5497	100	84743	561695	32336	11551	3808
2020-07-05	505593	9126	254362	5893	100	85875	603155	34713	12552	4198
2020-07-06	469543	9443	246939	6286	100	86301	645073	37113	13591	4616
2020-07-07	436005	9705	237653	6671	100	86003	687105	39518	14663	5060
2020-07-08	405063	9905	226778	7043	100	84982	728900	41907	15763	5531
2020-07-09	376736	10039	214626	7396	100	83265	770113	44260	16883	6026
2020-07-10	350987	10104	201525	7725	100	80901	810413	46558	18015	6545
2020-07-11	327732	10099	187804	8025	100	77958	849497	48785	19151	7086
2020-07-12	306850	10025	173774	8292	100	74518	887096	50923	20285	7647
2020-07-13	288193	9884	159722	8521	100	70675	922981	52962	21407	8225
2020-07-14	271601	9683	145894	8709	100	66525	956972	54890	22512	8817
2020-07-15	256902	9425	132498	8854	100	62169	988932	56699	23591	9421
2020-07-16	243924	9118	119696	8955	100	57700	1018774	58386	24640	10035
2020-07-17	232498	8770	107609	9011	100	53206	1046454	59948	25653	10653
2020-07-18	222465	8389	96318	9022	100	48764	1071968	61385	26625	11275
2020-07-19	213672	7983	85870	8991	100	44439	1095350	62699	27554	11896
2020-07-20	205981	7560	76283	8918	100	40285	1116662	63894	28436	12514
2020-07-21	199262	7126	67550	8806	100	36341	1135989	64976	29271	13126
2020-07-22	193402	6689	59648	8659	100	32638	1153436	65950	30057	13729
2020-07-23	188296	6255	52537	8480	100	29192	1169120	66823	30794	14321
2020-07-24	183851	5828	46172	8273	100	26013	1183164	67604	31482	14901
2020-07-25	179984	5413	40498	8041	100	23103	1195697	68298	32124	15465
2020-07-26	176623	5013	35460	7788	100	20457	1206846	68914	32719	16013
2020-07-27	173703	4631	31003	7519	100	18064	1216738	69459	33270	16543
2020-07-28	171168	4268	27070	7237	100	15913	1225491	69939	33779	17055
2020-07-29	168967	3926	23608	6945	100	13988	1233221	70362	34248	17547
2020-07-30	167058	3605	20569	6646	100	12272	1240033	70734	34679	18018
2020-07-31	165402	3305	17905	6344	100	10748	1246027	71060	35076	18469
2020-08-01	163966	3027	15575	6041	100	9400	1251293	71345	35439	18900
2020-08-02	162721	2769	13539	5739	100	8210	1255914	71595	35772	19309
2020-08-03	161642	2530	11762	5441	100	7162	1259964	71812	36076	19698
2020-08-04	160708	2311	10214	5149	100	6242	1263511	72002	36355	20067
2020-08-05	159898	2109	8865	4862	100	5435	1266615	72167	36609	20416
2020-08-06	159196	1925	7692	4584	100	4729	1269330	72311	36841	20746
2020-08-07	158588	1756	6672	4315	100	4111	1271703	72437	37053	21056
2020-08-08	158062	1601	5785	4055	100	3572	1273776	72545	37247	21349
2020-08-09	157606	1461	5015	3805	100	3103	1275588	72640	37424	21624
2020-08-10	157211	1332	4347	3566	100	2693	1277170	72722	37585	21882
2020-08-11	156869	1215	3767	3338	100	2337	1278551	72793	37732	22124
2020-08-12	156573	1109	3264	3121	100	2028	1279757	72855	37867	22350
2020-08-13	156317	1012	2828	2914	100	1758	1280811	72909	37989	22562
2020-08-14	156095	923	2450	2718	100	1525	1281731	72955	38101	22760
2020-08-15	155902	843	2122	2533	100	1321	1282534	72996	38204	22945
2020-08-16	155736	770	1838	2358	100	1145	1283236	73031	38297	23118
2020-08-17	155592	704	1591	2193	100	992	1283850	73061	38382	23278
2020-08-18	155467	643	1378	2038	100	860	1284386	73087	38461	23428
2020-08-19	155359	588	1193	1892	100	745	1284855	73110	38532	23568
2020-08-20	155266	538	1033	1756	100	645	1285266	73130	38597	23697
2020-08-21	155185	493	895	1627	100	559	1285625	73147	38657	23818
2020-08-22	155115	451	775	1507	100	484	1285940	73161	38712	23930
2020-08-23	155054	413	671	1395	100	419	1286215	73174	38762	24033
2020-08-24	155001	379	581	1290	100	363	1286457	73185	38808	24130
2020-08-25	154956	347	503	1192	100	314	1286669	73195	38850	24219
2020-08-26	154916	319	435	1101	100	272	1286855	73203	38889	24302
2020-08-27	154882	292	377	1016	100	236	1287019	73210	38924	24379
2020-08-28	154853	269	327	937	100	204	1287162	73217	38957	24450
2020-08-29	154827	247	283	863	100	177	1287289	73222	38987	24516
2020-08-30	154805	227	245	795	100	153	1287400	73227	39014	24576
2020-08-31	154786	209	212	731	100	132	1287499	73231	39039	24633
2020-09-01	154769	192	184	672	100	115	1287585	73234	39063	24685
