time	susceptible	severe	exposed	overflow	ICU	infectious	cumulative_recovered	cumulative_hospitalized	cumulative_critical	cumulative_fatality
2020-04-04	1468262	0	27	0	0	12	0	0	0	0
2020-04-05	1468255	0	21	0	0	21	3	0	0	0
2020-04-06	1468245	0	20	0	0	28	8	0	0	0
2020-04-07	1468233	0	22	0	0	32	14	1	0	0
2020-04-08	1468219	0	25	0	0	36	21	1	0	0
2020-04-09	1468204	1	28	0	0	40	28	2	1	0
2020-04-10	1468187	1	31	0	0	45	36	3	1	0
2020-04-11	1468168	1	35	0	0	51	46	4	1	0
2020-04-12	1468146	1	40	0	0	58	56	5	2	0
2020-04-13	1468121	1	45	0	1	65	68	6	2	0
2020-04-14	1468093	2	51	0	1	73	81	7	3	0
2020-04-15	1468062	2	57	0	1	82	96	9	3	0
2020-04-16	1468027	2	64	0	1	93	113	11	4	0
2020-04-17	1467988	3	72	0	1	105	133	13	5	0
2020-04-18	1467943	3	81	0	2	118	154	15	6	0
2020-04-19	1467893	3	92	0	2	133	178	18	7	0
2020-04-20	1467836	4	103	0	2	150	206	21	8	0
2020-04-21	1467773	4	116	0	3	168	236	25	10	0
2020-04-22	1467701	5	131	0	3	190	271	29	12	1
2020-04-23	1467621	6	147	0	4	213	310	33	14	1
2020-04-24	1467530	6	166	0	4	240	354	38	16	1
2020-04-25	1467428	7	186	0	5	271	403	44	18	1
2020-04-26	1467313	8	210	0	6	305	459	50	21	1
2020-04-27	1467183	9	236	0	7	343	522	58	24	1
2020-04-28	1467038	10	266	0	7	386	592	66	27	2
2020-04-29	1466874	11	299	0	9	435	671	75	31	2
2020-04-30	1466689	13	337	0	10	489	761	85	36	2
2020-05-01	1466482	14	379	0	11	551	861	97	41	3
2020-05-02	1466248	16	427	0	12	620	975	110	47	3
2020-05-03	1465985	18	480	0	14	698	1102	125	53	3
2020-05-04	1465689	21	540	0	16	786	1246	141	60	4
2020-05-05	1465356	23	608	0	18	884	1407	160	68	4
2020-05-06	1464981	26	684	0	20	995	1589	181	77	5
2020-05-07	1464560	30	770	0	23	1120	1793	204	87	6
2020-05-08	1464086	33	866	0	26	1260	2024	231	99	7
2020-05-09	1463552	37	974	0	29	1418	2283	260	112	8
2020-05-10	1462952	42	1096	0	33	1595	2574	294	126	9
2020-05-11	1462278	47	1232	0	37	1795	2902	332	143	10
2020-05-12	1461519	53	1386	0	42	2019	3271	374	161	11
2020-05-13	1460666	60	1558	0	47	2271	3686	422	182	13
2020-05-14	1459707	68	1752	0	53	2554	4153	476	205	15
2020-05-15	1458630	76	1969	0	60	2872	4678	536	232	16
2020-05-16	1457419	85	2212	0	67	3230	5268	604	261	19
2020-05-17	1456060	96	2486	0	76	3631	5932	681	295	21
2020-05-18	1454532	108	2792	0	85	4081	6678	767	332	24
2020-05-19	1452818	121	3135	0	96	4587	7516	863	374	27
2020-05-20	1450893	137	3520	8	100	5154	8459	972	421	31
2020-05-21	1448735	153	3950	21	100	5790	9518	1094	475	35
2020-05-22	1446314	172	4430	35	100	6502	10707	1231	534	40
2020-05-23	1443600	194	4968	51	100	7300	12042	1384	602	47
2020-05-24	1440560	217	5567	68	100	8193	13541	1557	677	54
2020-05-25	1437156	244	6235	87	100	9191	15223	1751	762	63
2020-05-26	1433348	274	6980	108	100	10307	17110	1968	857	74
2020-05-27	1429091	307	7807	132	100	11553	19225	2211	963	85
2020-05-28	1424335	344	8726	158	100	12943	21596	2484	1083	99
2020-05-29	1419028	386	9745	187	100	14491	24250	2790	1216	114
2020-05-30	1413111	432	10871	219	100	16214	27222	3132	1366	132
2020-05-31	1406523	483	12115	255	100	18128	30545	3515	1534	152
2020-06-01	1399196	541	13485	295	100	20250	34259	3943	1722	174
2020-06-02	1391060	604	14989	340	100	22601	38407	4420	1932	200
2020-06-03	1382041	675	16636	389	100	25198	43033	4953	2167	229
2020-06-04	1372060	753	18433	444	100	28061	48189	5546	2429	261
2020-06-05	1361036	840	20386	506	100	31209	53927	6207	2721	298
2020-06-06	1348889	935	22500	574	100	34661	60305	6941	3047	339
2020-06-07	1335535	1040	24776	649	100	38434	67382	7755	3409	384
2020-06-08	1320895	1155	27214	732	100	42544	75225	8658	3812	435
2020-06-09	1304892	1281	29810	825	100	47003	83898	9656	4259	493
2020-06-10	1287455	1419	32554	926	100	51819	93471	10758	4755	556
2020-06-11	1268524	1568	35434	1038	100	56995	104014	11971	5303	627
2020-06-12	1248049	1730	38429	1161	100	62528	115597	13303	5908	707
2020-06-13	1225997	1904	41515	1295	100	68407	128289	14763	6575	795
2020-06-14	1202352	2090	44657	1442	100	74612	142155	16357	7309	892
2020-06-15	1177125	2289	47818	1601	100	81111	157256	18094	8113	1000
2020-06-16	1150347	2500	50951	1774	100	87863	173647	19978	8992	1120
2020-06-17	1122081	2722	54004	1959	100	94810	191373	22015	9950	1251
2020-06-18	1092419	2954	56922	2159	100	101887	210465	24209	10992	1396
2020-06-19	1061484	3193	59644	2372	100	109010	230943	26561	12121	1555
2020-06-20	1029429	3440	62110	2598	100	116088	252808	29072	13338	1729
