time	susceptible	severe	exposed	overflow	ICU	infectious	cumulative_recovered	cumulative_hospitalized	cumulative_critical	cumulative_fatality
2020-04-08	1468279	0	15	0	0	7	0	0	0	0
2020-04-09	1468276	0	16	0	0	6	3	0	0	0
2020-04-10	1468272	0	17	0	0	6	6	0	0	0
2020-04-11	1468269	0	17	0	0	6	9	0	0	0
2020-04-12	1468267	0	17	0	0	5	11	0	0	0
2020-04-13	1468264	0	17	0	0	6	14	0	0	0
2020-04-14	1468261	0	17	0	0	6	17	0	0	0
2020-04-15	1468258	0	17	0	0	6	20	1	0	0
2020-04-16	1468255	0	17	0	0	6	22	1	0	0
2020-04-17	1468252	0	18	0	0	6	25	1	0	0
2020-04-18	1468249	0	18	0	0	6	28	1	0	0
2020-04-19	1468246	0	18	0	0	6	31	1	0	0
2020-04-20	1468243	1	18	0	0	6	34	1	0	0
2020-04-21	1468240	1	18	0	0	6	37	1	0	0
2020-04-22	1468237	1	18	0	0	6	39	2	0	0
2020-04-23	1468235	1	17	0	0	6	42	2	0	0
2020-04-24	1468232	1	17	0	0	6	45	2	1	0
2020-04-25	1468229	1	17	0	0	6	48	2	1	0
2020-04-26	1468226	1	17	0	0	6	51	2	1	0
2020-04-27	1468223	1	17	0	0	6	54	2	1	0
2020-04-28	1468220	1	17	0	1	6	56	3	1	0
2020-04-29	1468217	1	17	0	1	6	59	3	1	0
2020-04-30	1468214	1	17	0	1	6	62	3	1	0
2020-05-01	1468211	1	17	0	1	6	65	3	1	0
2020-05-02	1468208	1	18	0	1	6	68	3	1	0
2020-05-03	1468205	1	18	0	1	6	71	3	1	0
2020-05-04	1468202	1	18	0	1	6	73	4	1	0
2020-05-05	1468199	1	18	0	1	6	76	4	1	0
2020-05-06	1468196	1	18	0	1	6	79	4	1	0
2020-05-07	1468193	1	18	0	1	6	82	4	2	0
2020-05-08	1468190	1	18	0	1	6	85	4	2	0
2020-05-09	1468187	1	18	0	1	6	88	4	2	0
2020-05-10	1468184	1	18	0	1	6	91	5	2	0
2020-05-11	1468181	1	18	0	1	6	94	5	2	0
2020-05-12	1468178	1	18	0	1	6	97	5	2	0
2020-05-13	1468175	1	19	0	1	6	100	5	2	1
2020-05-14	1468171	1	19	0	1	6	102	5	2	1
2020-05-15	1468168	1	19	0	1	6	105	5	2	1
2020-05-16	1468165	1	19	0	1	6	108	6	2	1
2020-05-17	1468162	1	19	0	1	6	112	6	2	1
2020-05-18	1468159	1	19	0	1	6	115	6	2	1
2020-05-19	1468155	1	19	0	1	6	118	6	3	1
2020-05-20	1468152	1	19	0	1	6	121	6	3	1
2020-05-21	1468149	1	19	0	1	6	124	6	3	1
2020-05-22	1468145	1	20	0	1	6	127	7	3	1
2020-05-23	1468142	1	20	0	1	6	130	7	3	1
2020-05-24	1468139	1	20	0	1	6	133	7	3	1
2020-05-25	1468135	1	20	0	1	6	136	7	3	1
2020-05-26	1468132	1	20	0	1	7	140	7	3	1
2020-05-27	1468129	1	20	0	1	7	143	7	3	1
2020-05-28	1468125	1	20	0	1	7	146	8	3	1
2020-05-29	1468122	1	20	0	1	7	149	8	4	1
2020-05-30	1468119	1	20	0	1	7	152	8	4	1
2020-05-31	1468115	1	20	0	1	7	156	8	4	1
2020-06-01	1468112	1	20	0	1	7	159	8	4	1
2020-06-02	1468109	1	20	0	1	7	162	9	4	1
2020-06-03	1468105	1	20	0	1	7	165	9	4	1
2020-06-04	1468102	1	20	0	1	7	169	9	4	1
2020-06-05	1468098	1	20	0	1	7	172	9	4	1
2020-06-06	1468095	1	20	0	1	7	175	9	4	1
2020-06-07	1468091	1	20	0	1	7	179	9	4	2
2020-06-08	1468088	1	21	0	1	7	182	10	5	2
2020-06-09	1468084	1	21	0	1	7	185	10	5	2
2020-06-10	1468081	1	21	0	1	7	189	10	5	2
2020-06-11	1468077	1	21	0	1	7	192	10	5	2
2020-06-12	1468074	1	21	0	1	7	195	10	5	2
2020-06-13	1468070	1	21	0	1	7	199	11	5	2
2020-06-14	1468067	1	21	0	1	7	202	11	5	2
2020-06-15	1468063	1	21	0	1	7	205	11	5	2
2020-06-16	1468060	1	21	0	1	7	209	11	5	2
2020-06-17	1468056	1	21	0	1	7	212	11	6	2
2020-06-18	1468052	1	21	0	1	7	216	12	6	2
2020-06-19	1468049	1	21	0	1	7	219	12	6	2
2020-06-20	1468045	1	22	0	1	7	223	12	6	2
2020-06-21	1468042	1	22	0	1	7	226	12	6	2
2020-06-22	1468038	1	22	0	1	7	230	12	6	2
2020-06-23	1468034	1	22	0	1	7	233	13	6	2
2020-06-24	1468030	1	22	0	1	7	237	13	6	2
2020-06-25	1468027	1	22	0	1	7	240	13	6	2
2020-06-26	1468023	1	22	0	1	7	244	13	7	2
2020-06-27	1468019	1	22	0	2	7	247	13	7	2
2020-06-28	1468016	1	22	0	2	7	251	14	7	3
2020-06-29	1468012	1	22	0	2	7	254	14	7	3
2020-06-30	1468008	1	22	0	2	7	258	14	7	3
2020-07-01	1468004	1	22	0	2	7	262	14	7	3
2020-07-02	1468000	1	23	0	2	7	265	14	7	3
2020-07-03	1467997	1	23	0	2	7	269	15	7	3
2020-07-04	1467993	1	23	0	2	7	273	15	8	3
2020-07-05	1467989	1	23	0	2	7	276	15	8	3
2020-07-06	1467985	1	23	0	2	8	280	15	8	3
2020-07-07	1467981	1	23	0	2	8	284	15	8	3
2020-07-08	1467978	1	23	0	2	8	287	16	8	3
2020-07-09	1467974	1	23	0	2	8	291	16	8	3
2020-07-10	1467970	1	23	0	2	8	295	16	8	3
2020-07-11	1467966	1	23	0	2	8	298	16	8	3
2020-07-12	1467962	1	23	0	2	8	302	17	8	3
2020-07-13	1467958	1	23	0	2	8	306	17	9	3
2020-07-14	1467955	1	23	0	2	8	310	17	9	3
2020-07-15	1467951	1	23	0	2	8	313	17	9	3
2020-07-16	1467947	1	23	0	2	8	317	17	9	4
2020-07-17	1467943	1	23	0	2	8	321	18	9	4
2020-07-18	1467939	1	23	0	2	8	325	18	9	4
2020-07-19	1467935	1	23	0	2	8	329	18	9	4
2020-07-20	1467931	1	23	0	2	8	332	18	9	4
2020-07-21	1467927	1	23	0	2	8	336	18	10	4
2020-07-22	1467923	1	24	0	2	8	340	19	10	4
2020-07-23	1467919	1	24	0	2	8	344	19	10	4
2020-07-24	1467915	1	24	0	2	8	348	19	10	4
2020-07-25	1467911	1	24	0	2	8	351	19	10	4
2020-07-26	1467907	1	24	0	2	8	355	20	10	4
2020-07-27	1467903	1	24	0	2	8	359	20	10	4
2020-07-28	1467899	1	24	0	2	8	363	20	10	4
2020-07-29	1467894	1	25	0	2	8	367	20	11	4
2020-07-30	1467890	1	25	0	2	8	371	20	11	4
2020-07-31	1467886	1	25	0	2	8	375	21	11	4
2020-08-01	1467881	1	25	0	2	8	379	21	11	4
2020-08-02	1467877	1	26	0	2	8	383	21	11	4
2020-08-03	1467872	1	26	0	2	8	387	21	11	5
2020-08-04	1467868	1	26	0	2	8	391	22	11	5
2020-08-05	1467863	1	27	0	2	8	395	22	12	5
2020-08-06	1467858	1	27	0	2	9	399	22	12	5
2020-08-07	1467853	1	28	0	2	9	404	22	12	5
2020-08-08	1467849	1	28	0	2	9	408	23	12	5
2020-08-09	1467844	1	28	0	2	9	412	23	12	5
2020-08-10	1467838	1	29	0	2	9	417	23	12	5
2020-08-11	1467833	1	29	0	2	9	421	23	12	5
2020-08-12	1467828	1	30	0	2	9	426	24	12	5
2020-08-13	1467823	1	30	0	2	9	430	24	13	5
2020-08-14	1467817	1	31	0	2	10	435	24	13	5
2020-08-15	1467811	1	32	0	2	10	440	24	13	5
2020-08-16	1467806	1	32	0	2	10	444	25	13	5
2020-08-17	1467800	1	33	0	2	10	449	25	13	5
2020-08-18	1467794	1	34	0	2	10	454	25	13	5
2020-08-19	1467788	1	34	0	2	11	460	25	14	6
2020-08-20	1467782	1	35	0	2	11	465	26	14	6
2020-08-21	1467775	1	35	0	2	11	470	26	14	6
2020-08-22	1467769	1	36	0	2	11	475	26	14	6
2020-08-23	1467762	1	37	0	2	11	481	27	14	6
2020-08-24	1467756	1	38	0	2	12	487	27	14	6
2020-08-25	1467749	2	38	0	2	12	492	27	14	6
2020-08-26	1467742	2	39	0	2	12	498	28	15	6
2020-08-27	1467735	2	40	0	2	12	504	28	15	6
2020-08-28	1467728	2	40	0	2	13	510	28	15	6
2020-08-29	1467721	2	41	0	2	13	516	29	15	6
2020-08-30	1467713	2	42	0	2	13	523	29	15	6
2020-08-31	1467706	2	42	0	2	13	529	29	16	6
2020-09-01	1467698	2	43	0	2	13	536	30	16	6
